                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2073,                 1.0251,                 1.2965,                0.83763,                0.80952,                0.85109,                0.54201,                 1.6171,                 1.0209,                 1.5183,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.236,                 1.0109,                 1.2853,                 0.8069,                0.79641,                0.79268,                0.38371,                 2.0461,                  1.263,                 1.6292,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1805,                 0.9682,                 1.2718,                0.89373,                0.80136,                0.86041,                0.53057,                 1.7125,                 1.2131,                 1.4089,               0.001769,               0.001769,               0.001769
                     37,                 1.2304,                 1.0317,                 1.2933,                0.60122,                 0.7619,                0.70371,                0.39597,                 1.8564,                 1.2406,                 1.5832,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.2179,                0.97174,                 1.3033,                0.68345,                0.61699,                0.60733,                0.35878,                 1.9329,                 1.4996,                  1.662,              0.0017558,              0.0017558,              0.0017558
                     39,                  1.173,                0.95562,                 1.2676,                0.69543,                 0.7619,                0.77394,                0.37611,                 1.9655,                 1.4846,                  1.574,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.2033,                0.97253,                 1.2798,                0.95693,                0.71429,                0.85984,                0.45458,                 1.9284,                 1.1388,                 1.6257,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1401,                 0.9315,                 1.2619,                0.87599,                0.80952,                0.82626,                0.49872,                 1.6531,                 1.3112,                 1.3871,               0.001736,               0.001736,               0.001736
                     42,                 1.1145,                0.89853,                 1.2382,                0.97152,                0.80952,                0.87478,                0.47648,                 1.7706,                  1.168,                 1.4817,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1648,                0.95118,                  1.254,                0.83651,                0.80952,                0.84866,                0.49164,                 1.6345,                 1.1549,                 1.5284,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1374,                0.93052,                 1.2595,                0.81735,                0.71429,                0.78169,                0.44081,                 1.6724,                  1.294,                 1.4951,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1203,                0.87777,                 1.2204,                0.88117,                 0.7619,                0.84099,                0.49532,                 1.5145,                 1.0426,                 1.3497,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.1419,                0.87732,                 1.2354,                0.74175,                0.82102,                0.84109,                0.51146,                 1.5644,                 1.1557,                 1.3915,               0.001703,               0.001703,               0.001703
                     47,                 1.0863,                0.91499,                  1.226,                0.86922,                 0.7619,                0.80648,                 0.4611,                 1.5864,                 1.1699,                 1.3775,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.0704,                0.87289,                 1.2198,                0.89323,                0.79726,                0.83509,                0.49635,                 1.6896,                 1.0289,                 1.4342,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.1309,                0.87178,                 1.2347,                0.87473,                0.71429,                0.80547,                0.49184,                 1.8247,                 1.0809,                 1.5903,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.0562,                0.87643,                 1.2122,                 0.9046,                0.90312,                0.91753,                0.54744,                 1.6538,                0.94522,                 1.4528,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.0614,                0.82599,                 1.2004,                0.88649,                0.80952,                0.90238,                0.52065,                  1.651,                  1.002,                 1.4564,                0.00167,                0.00167,                0.00167
                     52,                 1.0724,                0.83356,                 1.2151,                0.90351,                0.80952,                0.89423,                0.53824,                 1.5188,                0.98575,                 1.4308,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0959,                0.85524,                 1.2129,                      1,                0.80147,                0.93254,                0.62263,                 1.2717,                 0.8761,                  1.281,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.0436,                0.84103,                 1.1773,                0.83864,                0.80952,                0.88189,                0.59634,                 1.2839,                 1.0471,                 1.2623,              0.0016502,              0.0016502,              0.0016502
